EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010376425,OXFORD HISTORICAL SOCIETY,% PATRICIA LARRIVEE,PO BOX 277,OXFORD,ME,04270-0277,0000,03,3,1000,198108,1,15,119994060,1,01,202412,0,0,02,0,12,0,0,0,,
010376503,MAINE INDEPENDENT COLLEGES ASSOCIATION,% DR JAMES DLUGOS,11 HILLS BEACH RD,BIDDEFORD,ME,04005-9526,0000,06,3,2000,201610,2,00,603000000,1,01,202306,2,1,02,0,06,11331,8008,8008,B03,
010376510,MAINE MENTAL HEALTH CONNECTIONS INC,,2 SECOND ST,BANGOR,ME,04401-6134,0000,03,3,1000,198109,1,15,160000000,1,01,202306,4,5,01,0,06,481356,644378,639015,P820,
010376587,OCEANSIDE CONSERVATION TRUST,% ROGER K BERLE,PO BOX 10404,PORTLAND,ME,04104-0404,0000,03,3,1000,198204,1,15,350000000,1,01,202312,6,3,02,0,12,2369070,35355,35355,,
010376664,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,% PHILIP OBRION,475 CHINA RD,ALBION,ME,04910-6407,1156,08,9,1000,198211,0,00,000000000,5,01,202405,5,5,01,0,05,746899,548953,548953,,MAINE ELKS ASSOCIATION
010376675,PEOPLE TO PEOPLE DANCE COMPANY,% MICHELE COX,PO BOX 223,CAMDEN,ME,04843-0223,0000,03,3,1000,201610,1,15,998000000,1,01,202312,0,0,02,0,12,0,0,0,A62,ATLANTIC BALLET COMPANY
010376696,BIRCH ROCK CAMP,,293 MCWAIN HILL RD,WATERFORD,ME,04088-3603,0000,03,3,1000,198706,1,16,325298000,1,01,202312,6,6,01,0,12,3087053,1434685,1245198,N20Z,
010376832,MAINE VETERANS HOME,% SHARON FUSCO CFO,460 CIVIC CENTER DR,AUGUSTA,ME,04330-7902,0000,03,3,1000,198109,1,15,152907000,1,01,202306,9,9,01,0,06,185101800,106858460,89462623,E910,
010376834,GOOSE ROCKS BEACH ASSOCIATION INC,,PO BOX 140,KENNEBUNKPORT,ME,04046-0140,0000,03,3,1000,198110,1,16,287296298,1,01,202312,4,4,01,0,12,258170,175570,161368,,
010376890,PINES HEALTH SERVICES,,74 ACCESS HWY,CARIBOU,ME,04736-3807,0000,03,3,1000,200501,1,12,000000000,1,01,202312,7,8,01,0,12,7506057,27416284,27416284,E20,
010376892,FREEPORT ECONOMIC DEVELOPMENT CORP,,30 MAIN ST,FREEPORT,ME,04032-1209,0000,06,3,3000,200001,2,00,000000000,1,01,202406,3,4,01,0,06,89054,143010,143010,S41,
010376940,OTISFIELD HISTORICAL SOCIETY,% PAULINE T BARTOW,PO BOX 631,OTISFIELD,ME,04270-0631,0000,03,3,1000,198109,1,16,062000000,5,01,202412,0,0,02,0,12,0,0,0,,
010376971,THE AMERICAN SADDLEBRED ASSOCIATION OF MAINE INCORPORATED,,PO BOX 337,SPRINGVALE,ME,04083-0337,0000,05,3,1000,198401,2,00,237065914,1,01,202312,4,3,02,0,12,185108,91654,0,,
010377246,NEW HOPE FOR WOMEN INC,,PO BOX A,ROCKLAND,ME,04841-0733,0000,03,3,1000,198111,1,15,319569431,1,01,202309,6,6,01,0,09,2154861,2426034,2419175,P430,
010377300,MASSABESIC LIONS CLUB REGIONAL MEDICAL CENTER,,813D MAIN ST,WATERBORO,ME,04087-3086,0000,03,3,1000,198111,1,15,155000000,1,01,202406,4,3,01,0,06,168340,79072,79072,E39Z,
010377308,BELGRADE LAKES ASSOCIATION,,PO BOX 551,BELGRADE LKS,ME,04918-0551,0000,03,3,1200,198110,1,15,350351354,1,01,202312,5,5,01,0,12,783213,713206,283359,,
010377494,FAITH SCHOOL OF THEOLOGY,,29 MAIN RD,CHARLESTON,ME,04422-3137,0000,03,3,7000,198303,1,11,046000000,1,01,202405,6,6,13,0,05,3976184,1933831,1908831,,
010377559,UNITED WAY OF THE TRI VALLEY AREA,,PO BOX 126,FARMINGTON,ME,04938-0126,0000,03,3,1000,198110,1,15,600000000,2,01,202312,4,4,01,0,12,297698,368071,316229,,
010377598,TRINITY EPISCOPAL CHURCH,,PO BOX 1402,LEWISTON,ME,04243-1402,3741,03,9,7000,194001,1,10,000000000,5,01,,0,0,06,0,12,,,,,
010377602,PENOBSCOT VALLEY SKI CLUB INC,% DIANNE GAUVIN,PO BOX 873,BANGOR,ME,04402-0873,0000,03,3,1000,201808,1,16,288298000,1,01,202406,0,0,02,0,06,0,0,0,N68,
010377606,CAPE ELIZABETH HISTORIC PRESERVATION SOCIETY,% CAPE ELIZABETH TOWN HALL,1000 SHORE RD,CAPE ELIZ,ME,04107-1916,0000,03,3,1000,201611,1,15,062119120,1,01,202412,0,0,02,0,12,0,0,0,A80,
010377623,CASTINE HISTORICAL SOCIETY INC,,PO BOX 238,CASTINE,ME,04421-0238,0000,03,3,1000,199303,1,15,062119000,1,01,202312,7,6,01,0,12,7552240,1785105,187268,A82Z,
010377632,M H H A,,PO BOX 436,AUGUSTA,ME,04332-0436,0000,06,3,2000,199912,2,00,000000000,1,01,202312,4,4,01,0,12,156073,192246,192246,S03,
010377645,HOUSING FOUNDATION,,DEVELOPMENT II 353 MAIN STREET,ORONO,ME,04473-0000,6005,03,9,1280,196911,1,15,059399000,1,01,,7,6,01,0,09,,,,,MANAGEMENT & DEVELOPMENT II
010377706,NEW ENGLAND ECONOMIC PROJECT INC,,268 FISKE ST,CARLISLE,MA,01741-1019,0000,06,3,3000,198112,2,00,200123124,1,01,202312,1,1,02,0,12,465,11,11,,G PLESKO E52-325 MIT
010377828,SAINT ANDREWS SOCIETY OF MAINE,,PO BOX 128,BRUNSWICK,ME,04011-0128,0000,03,3,2000,201604,1,16,000000000,1,01,202312,4,4,01,0,12,262363,103196,7175,A23,
010377901,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL RD,BREWER,ME,04412-1004,5247,03,9,1000,200506,1,16,000000000,5,01,202309,4,3,01,0,09,293256,84552,81944,E200,EASTERN MAINE MEDICAL CENTER AUXIL
010377914,MARLBORO YACHT CLUB,% EVELYN FARRELL,PO BOX 463,ELLSWORTH,ME,04605-0463,0000,07,3,1000,201605,2,00,000000000,5,01,202501,0,0,02,0,01,0,0,0,N50,
010377985,FARMINGTON HISTORICAL SOCIETY INC,% JANE WOODMAN,PO BOX 575,FARMINGTON,ME,04938-0575,0000,03,3,2000,198111,1,15,062119123,1,01,202412,5,3,01,0,12,553771,89348,76034,,
010377986,BUCKSPORT COMMUNITY CONCERNS INC,,PO BOX 603,BUCKSPORT,ME,04416-0603,0000,03,3,1000,198112,1,15,408994517,1,01,202409,4,3,01,0,09,111465,55562,55562,,
010378015,UNIVERSITY OF MAINE SYSTEMS INC,% JOAN ROLFE,75 CLEARWATER DRIVE,FALMOUTH,ME,04105-1454,5930,03,9,2000,201308,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,,CUMBERLAND COUNTY 4-H SHEEP CLUB
010378060,ANCIENT ACCEPTED SCOTTISH RITE OF FREEMASONRY NMJ,,42 JACKSON MILL ROAD,FAYETTE,ME,04349-0000,0259,10,9,1000,194012,1,00,279265319,5,01,202312,6,4,01,0,12,1758121,175087,73552,,VALLEY OF AUGUSTA
010378112,CALVARY BAPTIST CHURCH,,PO BOX 423,MADAWASKA,ME,04756-0423,0000,03,3,7000,198112,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010378158,COLUMBIETTES INCORPORATED,% RACHEL LEVESQUE,128 ROOSEVELT AVE APT 208,VAN BUREN,ME,04785-1167,3060,10,9,1000,197709,2,00,260000000,5,01,202410,0,0,02,0,10,0,0,0,,1635 VAN BUREN
010378190,MAINE MEDICAL RECORD ASSOCIATION INC,% ERIK RIDER TREASURER,16 BELL ST,GORHAM,NH,03581-1304,0000,06,3,2000,198111,2,00,205000000,1,01,202406,0,0,02,0,06,0,0,0,,
010378246,SOUTHERN MAINE PLANNING AND DEVELOPMENT COMMISSION,,COMMISSION INC 110 MAIN STREET SUIT,SACO,ME,04072-0000,0000,03,3,1000,198502,1,15,904000000,1,01,202306,8,6,01,0,06,10284655,4146456,4146456,Z99Z,
010378262,MCWAIN POND ASSOCIATION,% THOMAS TREMBLAY,59 FOSTER AVE,WATERFORD,ME,04088-0000,0000,03,3,1000,200506,1,16,350351353,1,01,202406,0,0,02,0,06,0,0,0,S30,
010378369,BIDDEFORD FOOD PANTRY,% DONALD R BISSON,162 ELM ST,BIDDEFORD,ME,04005-2349,0000,03,3,1000,201110,1,15,998000000,1,01,202405,6,4,01,0,05,1082898,400983,400983,P60,
010378420,PORTLAND MUSEUM OF ART,,7 CONGRESS SQ,PORTLAND,ME,04101-1119,0000,03,3,2000,198306,1,15,060119000,1,01,202401,9,8,01,0,01,94377270,29547263,15400222,A510,
010378440,FRANKLIN HISTORICAL SOCIETY,,PO BOX 317,FRANKLIN,ME,04634-0317,0000,03,3,2000,200401,1,15,000000000,1,01,202404,0,0,02,0,04,0,0,0,A80,
010378459,DALEYS BEACH COMMUNITY ASSN,% ELIZABETH DONOVAN,427 PEARL ST,BANGOR,ME,04401-4149,0000,04,3,1000,198308,2,00,429408000,1,01,202312,0,0,02,0,12,0,0,0,,
010378460,PENTECOSTAL LIGHTHOUSE,,PO BOX 416,MOUNT DESERT,ME,04660-0416,0000,03,3,7000,198201,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010378461,MAINE SOCIETY OF HEALTH-SYSTEM PHARMACISTS,% AMY DOWNING,PO BOX 261,AUGUSTA,ME,04332-0261,0000,06,3,2000,202305,2,00,205169040,1,01,202412,0,0,02,0,12,0,0,0,G03,
010378533,VIENNA HISTORICAL SOCIETY,% CAROLE O CONNELL GF,ROBINSON 57 OLD ROME RD,MT VERNON,ME,04352-0000,0000,03,3,1000,198806,1,15,062000000,1,01,202411,0,0,02,0,11,0,0,0,,
010378579,FREE BAPTIST CHURCH OF BIDGEWATER S MAIN ST BRIDGEWATER ME 04735,,PO BOX 280,BRIDGEWATER,ME,04735-0280,0000,03,3,7000,201208,1,10,000000000,5,01,,0,0,06,0,12,,,,X21,
010378598,FRIENDS OF THE KOTZSCHMAR ORGAN INC,,22 MONUMENT SQ STE 406,PORTLAND,ME,04101-4771,0000,03,3,1000,198202,1,15,119994000,1,01,202306,6,4,01,0,06,1038752,265433,265433,A68Z,
010378631,MAINE TRAPPERS ASSOCIATION,% LINDA BRIDGES,73 SHAWS MILL RD,GORHAM,ME,04038-2234,0000,06,3,2000,198306,2,00,205000000,1,01,202408,0,0,02,0,08,0,0,0,,
010378758,MAINE COLLEGE OF ART,,522 CONGRESS ST,PORTLAND,ME,04101-3378,0000,03,3,2000,198201,1,11,046030059,1,01,202406,8,8,01,0,06,49942890,30419001,29795926,B420,
010379036,FUNERAL CONSUMERS ALLIANCE OF MAINE INC,% JONATHAN C HULL,PO BOX 622,BRUNSWICK,ME,04011-0622,0000,03,3,2000,198208,1,15,998000000,1,01,202112,0,0,02,0,12,0,0,0,B82,
010379037,DIXFIELD HISTORICAL SOCIETY,% WILLIAM DEVRIES,PO BOX 182,DIXFIELD,ME,04224-0182,0000,03,3,2000,199904,1,15,998000000,1,01,202412,0,0,02,0,12,0,0,0,A54,
010379054,JACKSON MEMORIAL LIBRARY,,71 MAIN STREET,TENANTS HARBOR,ME,04860-0000,0000,03,3,1000,198203,1,15,000000000,5,01,202312,6,4,01,0,12,3785145,231323,215250,,
010379061,THE MAINE MORGAN HORSE CLUB INC,% BARBARA WARD,7 INNKEEPERS LN,FALMOUTH,ME,04105-2526,0000,05,3,1000,198204,2,00,237288000,1,01,202412,0,0,02,0,12,0,0,0,,
010379081,PARIS CAPE HISTORICAL SOCIETY,% BEN B CONANT,102 ELM ST,MECHANIC FLS,ME,04256-5519,0000,03,3,1000,198205,1,16,062119000,1,01,202312,0,0,02,0,12,0,0,0,,
010379085,FAITH LUTHERAN CHURCH,% CHARLIE APPLIN,PO BOX 1465,WINDHAM,ME,04062-1465,0000,03,3,7000,198201,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010379100,ANDROSCOGGIN AMATEUR RADIO CLUB INC,% IVAN LAZURE,236 OLD GREENE RD,LEWISTON,ME,04240-2213,0000,07,3,1000,198201,2,00,281995000,1,01,202403,0,0,02,0,03,0,0,0,,
010379301,RUTHERFORD LIBRARY ASSN,% SYLVIA GREENE,PO BOX 145,SOUTH BRISTOL,ME,04568-0145,0000,03,3,1000,199303,1,15,061000000,1,01,202312,5,3,01,0,12,574022,60926,60926,,
010379498,STANLEY MUSEUM INC,,PO BOX 77,KINGFIELD,ME,04947-0077,0000,03,3,1000,198706,1,16,060035000,1,01,202312,5,3,01,0,12,720474,73052,67395,A500,V
010379531,AMERICAN LEGION AUXILIARY,% TERESA BRADFORD,71 S MAIN ST,AUBURN,ME,04210-6807,0964,19,9,1000,194610,1,00,319907000,5,01,202409,0,0,02,0,09,0,0,0,,153 WILLIAM J ROGERS
010379670,FIRST ASSEMBLY OF GOD,,614 FINSON RD,BANGOR,ME,04401-2434,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010379683,THE ISLESFORD NEIGHBORHOOD HOUSE ASSOCIATION,,PO BOX 112,ISLESFORD,ME,04646-0112,0000,03,3,1000,199012,1,15,200000000,1,01,202405,5,3,02,0,05,500778,48162,45755,T99Z,
010379691,LINCOLN COUNTY ASSEMBLY OF GOD,,672 MAIN ST,DAMARISCOTTA,ME,04543-0000,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,03,0,03,,,,,
010379851,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,,PO BOX 42,LUBEC,ME,04652-0042,0239,04,9,3000,196912,2,00,279319000,5,01,202406,0,0,02,0,06,0,0,0,,13685 LUBEC
010379868,MOUNTAINSIDE COMMUNITY CHURCH,,18 MOUNTAIN RD,FALMOUTH,ME,04105-2509,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,3248
010379899,THE EAGLE HILL INSTITUTE,,PO BOX 9,STEUBEN,ME,04680-0009,0000,03,3,2000,198203,1,16,199000000,1,01,202312,6,6,01,0,12,2214340,2018254,676890,U50Z,
010380003,WINTERPORT FIRE AND RESCUE ASSOCIATION,% PHIL HIGGINS,44 MAIN ST,WINTERPORT,ME,04496-3225,0000,03,3,1000,200501,1,16,000000000,1,01,202312,4,4,01,0,12,189726,457261,457261,E62,
010380074,BOOTHBAY REGION FISHERMENS MEMORIAL FUND,% ESTELLE APPEL SECRETARY,PO BOX 304,BOOTHBAY HBR,ME,04538-0304,0000,03,3,1000,198306,1,16,063064040,1,01,202310,0,0,02,0,10,0,0,0,,
010380077,MAINE YOUTH CAMPING ASSOCIATION,,PO BOX 1861,PORTLAND,ME,04104-1861,0000,03,3,1000,199002,1,16,325000000,1,01,202306,4,4,01,0,06,475185,364753,364753,N20Z,
010380150,MECHANIC FALLS DEVELOPMENT COMMISSION,,125 MANLEY RD,AUBURN,ME,04210-3632,0000,06,3,2000,202208,2,00,200533900,1,01,202406,0,0,02,0,06,0,0,0,S30,
010380274,WHOLISTIC HEALTH RESOURCE CENTER,% PAUL WEISS,162 GILBERT FARM RD,BAR HARBOR,ME,04609-7711,0000,03,3,2000,202501,1,16,179000000,1,01,202012,0,0,02,0,12,0,0,0,B90,
010380392,SOUTH CHINA PUBLIC LIBRARY,,PO BOX 417,CHINA,ME,04358-0417,0000,03,3,1200,198207,1,16,061062119,1,01,202306,0,0,02,0,06,0,0,0,,
010380676,THE BRIDGE MID COAST MAINE,,633 GARDINER RD,DRESDEN,ME,04342-3033,0000,03,3,7000,198604,1,10,001000000,1,01,,3,3,06,0,12,,,,,
010380746,MOOSEHEAD RIDERS INC,% CHRIS SHIELDS,PO BOX 1145,GREENVILLE,ME,04441-1145,0000,04,3,3000,201410,2,00,000000000,1,01,202208,4,4,01,0,08,,,,N68,
010380763,LAUDHOLM TRUST,,342 LAUDHOLM FARM RD,WELLS,ME,04090-4703,0000,03,3,1000,198206,1,15,350994352,1,01,202306,8,6,01,0,06,11057109,1003175,954746,C300,
010380810,MAINE WATER ENVIRONMENT ASSOCIATION,,15 UNIVERSITY DR,AUGUSTA,ME,04330-8042,0000,06,3,2000,199308,2,00,205000000,5,01,202312,3,4,01,0,12,64398,174490,101537,,
010380827,CHRISTIAN SCIENCE SOCIETY BRIDGEWATER MME,,PO BOX 356,BRIDGEWATER,ME,04735-0356,0425,03,9,7000,000000,1,10,000000000,5,01,,0,0,06,0,04,,,,,
010381143,MAINE PODIATRIC MEDICAL ASSOCIATION,,980 FOREST AVE STE 102,PORTLAND,ME,04103-3357,0000,06,3,2000,201504,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,S41,
010381163,ST JOHN VALLEY CHAMBER OF COMMERCE & TOURISM,,PO BOX 144,MADAWASKA,ME,04756-0144,0000,06,3,1000,199609,2,00,200000000,1,01,202306,3,3,01,0,06,35063,65635,65635,,
010381172,NEW ENGLAND BROWN EGG COUNCIL,% WILLIAM BELL,97A EXCHANGE ST STE 305,PORTLAND,ME,04101-5016,0000,06,3,2000,198207,2,00,200000000,1,01,202412,0,0,02,0,12,0,0,0,,
010381834,EDDINGTON SALMON CLUB INC,,PO BOX 404,BREWER,ME,04412-0404,0000,07,3,1000,198308,2,00,998000000,1,01,202412,0,0,02,0,12,0,0,0,,
010381852,TREE OF LIFE CHURCH ASSEMBLY OF GOD,,1051 ROOSEVELT TRL,WINDHAM,ME,04062-5757,1678,03,9,7000,196408,1,10,001000000,1,01,201612,0,0,06,0,12,,,,,
010381899,UNITY HISTORICAL SOCIETY INC,% PAT CLARK,PO BOX 4,UNITY,ME,04988-0004,0000,03,3,2000,198301,1,15,062000000,1,01,202312,0,0,02,0,12,0,0,0,,
010381906,OLD TOWN MUSEUM,% WILLIAM A OSBORNE,PO BOX 375,OLD TOWN,ME,04468-0375,0000,03,1,2000,198208,1,16,060995000,1,01,202312,0,0,02,0,12,0,0,0,A50,
010382027,MT BLUE MUSIC BOOSTERS INC,% DEBORAH SEELEY,129 SEAMON RD,FARMINGTON,ME,04938-6336,0000,03,3,1000,198303,1,16,035000000,1,01,202412,0,0,02,0,12,0,0,0,,
010382070,MAINE ASSOCIATION OF PRIVATE RESIDENTIAL FACILITIES FOR PERSONS,% UPLIFT INC,PO BOX 149,HALLOWELL,ME,04347-0149,0000,06,3,1000,199311,2,00,205000000,1,01,202306,4,4,01,0,06,336157,412567,412567,,
010382071,NATIONAL GUARD ASSOCIATION OF THE STATE OF MAINE,% GAVIN BATCHELDER,33 STATE HOUSE STA,AUGUSTA,ME,04333-0033,0000,04,3,3000,198208,2,00,260480512,1,01,202405,0,0,02,0,05,0,0,0,,
010382336,LIMERICK HISTORICAL SOCIETY INC,,PO BOX 83,LIMERICK,ME,04048-0083,0000,03,3,2000,201409,1,16,123124119,1,01,202412,0,0,02,0,12,0,0,0,A80,
010382340,LINCOLNHEALTH COVES EDGE,,35 MILES ST,DAMARISCOTTA,ME,04543-4047,0000,03,3,1000,198208,1,12,152179000,1,01,202309,7,8,01,0,09,7653706,11169517,10316524,E910,
010382410,AMERICAN LEGION NO 119 CONNERTRAFT ON,% BRIAN J KNOWLTON,PO BOX 494,DEXTER,ME,04930-0494,0925,19,9,1000,198211,0,00,907908000,5,01,202312,0,0,02,0,12,0,0,0,,
010382451,WHITNEY BROOKSIDE CORPORATION,,PO BOX 482,CANTON,ME,04221-0482,0000,03,3,1000,198209,1,15,382000000,1,01,202312,4,4,01,0,12,258078,267977,267977,L22,
010382492,SOUTH LEWISTON BAPTIST CHURCH,,1919 LISBON RD,LEWISTON,ME,04240-1415,0000,03,3,7000,201404,1,10,000000000,1,01,,0,0,06,0,05,,,,X20,
010382676,EMPLOYEES OF MUNICIPAL & OTHER PUB- LIC EMPLOYERS OF ME HEALTH INS TR,,60 COMMUNITY DR,AUGUSTA,ME,04330-8603,0000,09,3,1000,198208,2,00,265262000,1,01,202312,9,9,01,0,12,114007131,198593935,198593935,,
010382732,MAINE NUTRITION COUNCIL,,PO BOX 246,AUGUSTA,ME,04332-0246,0000,03,3,2000,198209,1,16,123995000,1,01,202412,0,0,02,0,12,0,0,0,,
010382746,EAST ORRINGTON CONGREGATIONAL CHURCH,,38 JOHNSON MILL RD,ORRINGTON,ME,04474-3235,0000,03,3,7000,198209,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010382821,WELLS AUTO MUSEUM,,1181 POST ROAD,WELLS,ME,04090-0000,0000,03,3,1000,198304,1,16,060995000,1,01,202312,0,0,02,0,12,0,0,0,A500,
010382889,CHARLESTON SENIORS HOUSING CORPORATION,,PO BOX 2219,BANGOR,ME,04402-2219,0000,03,3,1000,198212,1,16,382995398,1,01,202312,4,4,01,0,12,342633,200212,200212,L21Z,
010382926,DISTRICT 7 DEPARTMENT OF MAINE VETERANS OF FOREIGN WARS,% JONATHAN BROWN,79 FOREST GLEN LN,TOPSHAM,ME,04086-1332,0000,19,3,1000,202401,1,00,907908000,1,01,202407,0,0,02,0,07,0,0,0,,
010383486,MAINE LIBRARY ASSOCIATION,% EDNA COMSTOCK,55 N MAIN ST APT 49,BELCHERTOWN,MA,01007-8201,0000,03,3,2000,202101,1,16,205123000,1,01,202306,4,3,01,0,06,175125,88174,88174,B70,
010383489,PINE TREE QUILTERS GUILD,% SUSAN LAMIE,PO BOX 5405,AUGUSTA,ME,04332-5405,0000,04,3,1000,198210,2,00,090149091,1,01,202312,4,4,01,0,12,108803,185897,49997,,
010383492,GREAT HARBOR COLLECTION INC,,PO BOX 145,NE HARBOR,ME,04662-0145,0000,03,3,2000,198212,1,15,060995062,1,01,202312,0,0,02,0,12,0,0,0,A540,
010383493,MAINE PEOPLES ALLIANCE,% MELISSA UREY,565 CONGRESS ST STE 200,PORTLAND,ME,04101-3315,0000,04,3,3000,198407,2,00,530906404,1,01,202312,7,6,01,0,12,5394327,4481640,4458381,S01,
010383549,PHYSICIANS FOR SOCIAL RESPONSIBILITY INC,% KAREN A D ANDREA,126 WESTERN AVE STE 2 # 1012,AUGUSTA,ME,04330-7249,6008,03,9,1000,197003,1,15,161000000,5,01,202312,0,0,02,0,12,0,0,0,,MAINE
010383583,GARDEN CLUB FEDERATION OF MAINE INC,% DEBORAH STOKES,12 LINDEN LN,CAMDEN,ME,04843-2260,0000,03,3,2000,202211,2,16,356123602,1,01,202403,3,3,01,0,03,86278,70082,70082,C42,CAMDEN GARDEN CLUB
010383590,MAINE ENVIRONMENTAL EDUCATION ASSOCIATION,% C/O ECOLOGY SCHOOL AT FERRY BEACH,31 WOODSIDE RD,BRUNSWICK,ME,04011-7430,0000,03,3,1000,198210,1,15,125000000,1,01,202312,5,5,01,0,12,505989,807450,807450,,
010383630,PETIT MANAN YACHT CLUB,% GEORGE AREY,PO BOX 273,MILBRIDGE,ME,04658-0273,0000,07,3,1000,198303,2,00,318000000,1,01,202412,0,0,02,0,12,0,0,0,,
010383844,BRANCH LAKE ASSOCIATION INC,% HOLLY G GRIFFIN,PO BOX 601,ELLSWORTH,ME,04605-0601,0000,03,3,1000,201510,1,15,000000000,5,01,202312,0,0,02,0,12,0,0,0,T50,
010384135,FRIENDS OF THE WINDHAM PUBLIC & LIBRARY,% LAUREL T PARKER,66 RUNNING BROOK RD,WINDHAM,ME,04062-5159,0000,03,3,2000,201511,1,15,601927000,1,01,202406,0,0,02,0,06,0,0,0,B11,
010384177,GREATER BANGOR ASSOCIATION OF REALTORS,,PO BOX 3046,BREWER,ME,04412-3046,0000,06,3,4000,198212,2,00,201205203,1,01,202312,4,4,01,0,12,328789,195792,195792,,
010384271,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% FAVID DOAK,PO BOX 665,MONROE,ME,04951-0665,0239,04,9,3000,196912,2,00,279319000,5,01,202406,0,0,02,0,06,0,0,0,,41171 MONROE LIONS CLUB
010384289,FINNISH-AMERICAN SOCIETY OF MAINE,,PO BOX 294,WEST PARIS,ME,04289-0294,0000,03,3,1000,198306,1,16,119124319,1,01,202412,0,0,02,0,12,0,0,0,,
010384454,KENNEBEC VALLEY BOARD OF REALTORS,,30 FILOS WAY,AUGUSTA,ME,04330-4148,0000,06,3,1000,200404,2,00,998000000,1,01,202412,4,4,01,0,12,264361,159669,159669,S46,
010384633,CARRABASSETT VALLEY ACADEMY,% SUE HOWE,3197 CARRABASSETT DR,CARABASET VLY,ME,04947-5705,0000,03,3,2000,198306,1,11,046298042,1,01,202406,8,7,01,0,06,14109913,6359734,6315083,B25Z,
010384674,CONVENTION VISITORS BUREAU OF GREATER PORTLAND,,1375 CONGRESS ST,PORTLAND,ME,04102-2118,0000,06,3,3000,198709,2,00,208000000,1,01,202312,4,6,01,0,06,398794,1390543,1390543,,
010384711,BANGOR LIONS CHARITIES,% GERALD THIBODEAU,PO BOX 237,BANGOR,ME,04402-0237,0000,03,3,1000,200412,1,16,000000000,1,01,202406,0,0,02,0,06,0,0,0,P60,
010384727,NEW TESTAMENT BAPTIST CHURCH,,107 MAIN ST,SACO,ME,04072-3503,0000,03,3,7000,198310,1,10,001000000,1,02,,0,0,06,0,12,,,,,
010384808,HONOR SOCIETY OF PHI KAPPA PHI,% ELIZABETH BISCHOF,85 BEDFORD ST,PORTLAND,ME,04101-0000,3488,03,9,1000,199901,1,16,000000000,1,01,202406,0,0,02,0,06,0,0,0,B83,UNIVERSITY OF SOUTHERN MAINE
010384833,BIG BROTHERS BIG SISTERS OF MID-MAINE,,66 ELM STREET SUITE 100,CAMDEN,ME,04843-1907,0000,03,3,1000,198403,1,15,349000000,1,01,202312,4,4,01,0,12,145766,493668,464030,,
010384908,MAINE WAY INC,,PO BOX 1144,BIDDEFORD,ME,04005-1144,0000,03,3,1000,199911,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,L41,
010384922,GRACE FAMILY CHURCH,,1176 MAIN ST,WATERBORO,ME,04087-3112,1678,03,9,7000,196408,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010384970,JACKMAN LIBRARY ASSOCIATION,,PO BOX 8,JACKMAN,ME,04945-0008,0000,03,3,2000,198606,1,15,061000000,5,01,202412,0,0,02,0,12,0,0,0,,
010384978,ELLSWORTH ASSEMBLY OF GOD,,PO BOX 116,ELLSWORTH,ME,04605-0116,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010385020,HOSPICE VOLUNTEERS OF HANCOCK COUNTY,,14 MCKENZIE AVE,ELLSWORTH,ME,04605-1520,0000,03,3,1000,198305,1,15,179000000,1,01,202406,6,6,01,0,06,1582788,1059894,498429,,
010385030,THOMASTON ASSEMBLY OF GOD,% CAROLYN M STONE,14 ROXBURY ST,THOMASTON,ME,04861-3414,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010385088,PROMISED LAND WORLD OUTREACH CENTER,% JOHN L MANNING,536 COTTAGE RD,S PORTLAND,ME,04106-5038,1678,03,9,7000,196408,1,10,000000000,5,01,,0,0,06,0,12,,,,,
010385132,CENTRAL MAINE SENIORS GOLF ASSOCIATION,,14 ALLEN ST,BATH,ME,04530-2104,0000,07,3,1000,198302,2,00,288317318,1,01,202412,0,0,02,0,12,0,0,0,,
010385221,TOWN OF CHINA HISTORICAL SOCIETY,% SUEANN CHARLES,PO BOX 34,SOUTH CHINA,ME,04358-0034,0000,03,3,2000,202304,1,15,060000000,1,01,202406,0,0,02,0,06,0,0,0,A82,
